model,data,misc_or_type,no_of_annotations,no_of_predictions,mode,precision,recall,f1,F1_from
dacy_medium,all,true,1253,1198,strict,0.6883,0.6735,0.6751,Ibsen
dacy_medium,all,true,1253,1198,exact,0.7578,0.7357,0.7395,Ibsen
dacy_medium,all,true,1253,1198,partial,0.8126,0.7895,0.7925,Ibsen
dacy_medium,all,true,1253,1198,type,0.7777,0.7628,0.7626,Ibsen
dacy_small,all,true,1253,1514,strict,0.6373,0.7016,0.6569,Ibsen
dacy_small,all,true,1253,1514,exact,0.7211,0.7989,0.7455,Ibsen
dacy_small,all,true,1253,1514,partial,0.7607,0.8512,0.7892,Ibsen
dacy_small,all,true,1253,1514,type,0.6830,0.7653,0.7089,Ibsen
dacy_large,all,true,1253,1291,strict,0.7640,0.7726,0.7650,Ibsen
dacy_large,all,true,1253,1291,exact,0.8148,0.8277,0.8174,Ibsen
dacy_large,all,true,1253,1291,partial,0.8562,0.8712,0.8596,Ibsen
dacy_large,all,true,1253,1291,type,0.8258,0.8378,0.8282,Ibsen
spacy_trf,all,true,1253,1191,strict,0.7368,0.7103,0.7163,Ibsen
spacy_trf,all,true,1253,1191,exact,0.7863,0.7591,0.7648,Ibsen
spacy_trf,all,true,1253,1191,partial,0.8460,0.8148,0.8218,Ibsen
spacy_trf,all,true,1253,1191,type,0.8332,0.8012,0.8088,Ibsen
spacy_small,all,true,1253,1991,strict,0.4546,0.4842,0.4460,Ibsen
spacy_small,all,true,1253,1991,exact,0.5980,0.6290,0.5825,Ibsen
spacy_small,all,true,1253,1991,partial,0.6363,0.6738,0.6193,Ibsen
spacy_small,all,true,1253,1991,type,0.4954,0.5244,0.4827,Ibsen
spacy_medium,all,true,1253,1596,strict,0.5503,0.5881,0.5527,Ibsen
spacy_medium,all,true,1253,1596,exact,0.6410,0.6948,0.6456,Ibsen
spacy_medium,all,true,1253,1596,partial,0.6920,0.7598,0.7005,Ibsen
spacy_medium,all,true,1253,1596,type,0.6084,0.6566,0.6141,Ibsen
spacy_large,all,true,1253,1544,strict,0.5405,0.5873,0.5483,Ibsen
spacy_large,all,true,1253,1544,exact,0.6374,0.6852,0.6419,Ibsen
spacy_large,all,true,1253,1544,partial,0.7068,0.7593,0.7106,Ibsen
spacy_large,all,true,1253,1544,type,0.6156,0.6680,0.6242,Ibsen
dacy_medium,1844-1871,true,373,367,strict,0.6979,0.7129,0.6984,Ibsen
dacy_medium,1844-1871,true,373,367,exact,0.7551,0.7730,0.7561,Ibsen
dacy_medium,1844-1871,true,373,367,partial,0.7997,0.8275,0.8042,Ibsen
dacy_medium,1844-1871,true,373,367,type,0.7580,0.7923,0.7651,Ibsen
dacy_medium,1871-1879,true,318,299,strict,0.7334,0.7019,0.7122,Ibsen
dacy_medium,1871-1879,true,318,299,exact,0.7710,0.7349,0.7471,Ibsen
dacy_medium,1871-1879,true,318,299,partial,0.8145,0.7717,0.7858,Ibsen
dacy_medium,1871-1879,true,318,299,type,0.7840,0.7520,0.7623,Ibsen
dacy_medium,1880-1889,true,316,281,strict,0.7148,0.6691,0.6833,Ibsen
dacy_medium,1880-1889,true,316,281,exact,0.7907,0.7377,0.7546,Ibsen
dacy_medium,1880-1889,true,316,281,partial,0.8435,0.7788,0.8000,Ibsen
