filename,texts,ground_truths,dacy_large
BREV_B1844-1871ht_B18450801AWE,Jomfru M: Wahl hilses venskabeligst fra,"[('PER', 'M: Wahl')]","[('PER', 'M: Wahl')]"
BREV_B1844-1871ht_B18461207JCP,"Opfordret af Deres Velbaarenhed til at erklære om jeg vedgaaer eller nægter at være Fader til et af Pigen Else Sophie Jensdatter Birkedalen født Drengebarn, som i Daaben den 25de October sidstleden er kaldet Hans Jacob, maa jeg herved ærbødigst meddele, at jeg ikke, uagtet Pigens Samqvem ogsaa med andre Mandspersoner paa den vedkommende Tid, bestemt tør fralægge mig bemeldte Paternitet, da jeg desværre med hende har pleiet legemlig Omgang, hvortil hendes fristende Adfærd og samtidige Tjeneste med mig hos Apotheker Reimann i lige Grad gav Anledning.Jeg er nu i 20de Aar gl:, eier aldeles Intet, uden nogle tarvelige Klæder, Skoetøi og Linned og skal om kort Tid forlade Grimstad Apothek, ved hvilket jeg som Lærling og altsaa uden nogen anden Løn, end Kosthold og de ovennævnte Fornødenheder, har opholdt mig siden Sommeren 1843. Min endnu levende Fader, til hvem jeg nødsages for det Første at begive mig, er en af de mindre Handelsmænd i Skien og befinder sig i høist maadelige Kaar.Til Vitterlighed:","[('PER', 'Else Sophie Jensdatter Birkedalen'), ('PER', 'Hans Jacob'), ('PER', 'Reimann'), ('LOC', 'Grimstad'), ('LOC', 'Skien')]","[('PER', 'Else Sophie Jensdatter Birkedalen'), ('MISC', 'Daaben'), ('PER', 'Hans Jacob'), ('PER', 'Pigens'), ('PER', 'Reimann'), ('PER', 'Linned'), ('LOC', 'Grimstad'), ('LOC', 'Skien'), ('MISC', 'Kaar')]"
BREV_B1844-1871ht_B18491015OS,"Dit sidste Brev har i dobbelt Henseende glædet mig, – saavel fordi jeg deraf kan love mig en hastig Afgjørelse af vort Forehavende, som især fordi du deri viser dig som en sand Ven, ved at betragte min Skrivelse som et Product, der skylder Opbrusning og Overilelse sin Tilbliven. Denne skaanende Opfatningsmaade lader mig haabe, at du har sat dig ind i min Stilling og forestillet dig det Synspunct hvorfra jeg har betragtet Sagen. Jeg haaber at du har tænkt dig den skuffede Forventning hvormed jeg har imødeseet hver Postdag og at denne har sat mig i en høist ubehagelig Stemning, da jeg som Fraværende, jo ikke kunde tænke mig Aarsagen og denne Uvished desuden nødvendigviis maatte fremkalde tusinde Tvivl, hvilke alle vare saameget desto piinligere, da jeg i mit Indre ikke kunde erkjende een af dem som grundet –.Dit Brev har hævet Alt hvad der maatte forekomme mig tvivlsomt ved din Fremgangsmaade og jeg vilde kun slet fortjene dit Venskab, dersom jeg ikke med største Beredvillighed tilbagekaldte Alt hvad der i min Skrivelse kunde hentyde paa fornærmelige Tvivl om dine Hensigters Redelighed. Jeg beder dig derfor fremdeles at oversee det Hele som Noget der ingen Indflydelse har paa vort venskabelige Forhold for Fremtiden og forventer Forsikkring herom i dit næste Brev. – Jeg har idag ikke Tid til at skrive mere, – fra Due skal jeg takke for Guitaren, han venter den med Længsel. Buxetøiet takker jeg ligeledes meget for, – jeg havde ikke tænkt vidre derpaa, og troede at det ligeledes var gaaet dig af Glemme, imidlertid er det meget kjærkommet da jeg fortiden nødes til at spare saameget som muligt. – Af Olaf Tr: er saagodtsom hele første Act færdig, jeg troer det skal blive ret heldigt – og haaber at dette Stykke vil skaffe os færre Ubehageligheder end C. Lev vel,P. S. Gjør mig den Tjeneste at offre mit sidste Brev til Luerne, jeg ærgrer mig over at vide det i dine Hænder!","[('PER', 'Due'), ('MISC', 'C.')]","[('MISC', 'Due'), ('PER', 'Olaf Tr'), ('PER', 'C.')]"
BREV_B1844-1871ht_B18500105OS,"Gjennem din sidste Skrivelse har jeg modtaget «Catilinas» Dødsdom, – det gjør mig ondt, men det kan ikke nytte at tabe Modet. Du har virkelig Ret i at dette tilsyneladende Nederlag i Grunden ikke er at betragte som et Saadant. C. var jo kuns bestemt til at være en Forløber for de Planer vi i denne Retning have aftalt, og den kan endnu ligefuldt opfylde sin Bestemmelse. Jeg er ganske af samme Mening som du, nemlig at det er rigtigst at sælge Stykket, og jeg troer at Stykkets Afviisning, ifølge Directionens Skrivelse snarere vil gavne end skade, da det ikke synes som om Mangel paa indre Gehalt har bevirket at det ikke blev antaget. Salget af Stykket afhandler du naturligviis efter eget Forgodtbefindende, kuns vil jeg bemærke at det forekommer mig bedre at sælge Forlagsretten end at lade det trykke paa eget Forlag, da vi i sidste Tilfælde baade maatte rykke ud med en Deel Penge, forat bestride Trykningen, og desuden først lidt efter lidt vilde komme i Besiddelse af Indtægten, medens vi i første Tilfælde kuns havde at modtage Honoraret, – dog, dette maa lempes efter Omstændighederne. – Nu lidt om min litterære Virksomhed. Af Olaf T. er som jeg nok før har sagt, omtrentlig første Act ferdig; det lille Eenactsstykke «Normannerne» er omarbeidet, eller rettere, skal omarbeides, hvilket jeg fortiden beskjæftiger mig med, og vil i sin nye Skikkelse fremtræde som Iklædning for en mere udvidet Idee, end den for hvilken det oprindelig var bestemt. Et Par Sagn og Skildringer fra Thelemarken har jeg benyttet til nogle mindre Digte, afpassede efter bekjendte Folkemelodier, og har saaledes ogsaa forsøgt mig i national Retning. Ligeledes har jeg halv fuldført en større, maaskee noget overspændt Digtning, betitlet «Balminder» der skylder min indbildte Forlibelse fra isommer sin Tilværelse. Men hvad der egentlig maa kaldes mit Hovedværk siden din Bortreise er en nationalhistorisk Novelle som jeg har kaldet «Fangen paa Agershuus,» – den omhandler Christian Lofthuus’s sørgelige Skjæbne. Denne Mands Liv er dig vistnok bekjendt, hvis ikke, saa følger her et kort Omrids af Samme. C. L levede i Slutningen af forrige Aarhundrede paa Gaarden Lofthuus nærved Lillesand, de danske Embedsmænd huserede her værre end nogensteds og Lofthuus der dengang endnu var en ung Mand og almindelig agtet besluttede at tage sig af sine undertrykte Sognefolk. Han indsamlede Klager over Embedsmændene og begav sig dermed til Kjøbenhavn hvor han personlig fremstillede sig for Kongen og talede Folkets Sag saa kraftigt at en Commision blev nedsat og denne afskedigede de mest Forhadte blandt Embedsmændene. Dette var mere end hans Fiender kunde taale, han blev beskyldt for at staa i Underhandling med den svenske Konge om at spille denne Norge i Hænderne imod at han selv skulde beholde en Deel deraf som selvstændigt Rige. Som Følge heraf udstædtes Arrestordre mod Lofthuus, men da dette rygtedes stillede hele Skarer af bevæbnede Bønder sig til hans Beskyttelse, han befæstede sin Gaard og udholdt en formelig Beleiring indtil han ved Forræderi lokkedes til en Stad i Nærheden hvor han blev greben og paa en færdigliggende Baad ført til Christiania. Her sad han paa Agershuus Fæstning uden Dom i 10 Aar, (indtil 1794.). Hans hemmelige Venner virkede for ham og fremkaldte derved tilsidst hans Benaadning; men for sildig, – just da denne ankom havde Døden forløst ham. Dette er det Historiske ved Sagen, hvilket jeg har erfaret af et gammelt Skrift jeg heldigviis er kommen i Besiddelse af, synes du ikke at heraf kan udbringes Noget. – Jeg troer at det er fornødent at forsyne «Catilina» med nogle og beder dig derfor at afskrive og vedlægge følgende«Nærværende Stykke var oprindelig bestemt for Scenen, Theaterdirectionen har imidlertid ikke fundet Stykket skikket hertil. Uagtet Forfatteren har Grund til at antage, at Hovedaarsagerne til Stykkets Afviisning ikke skrive sig fra indre Mangler ved Samme, er det dog ikke uden med en saare naturlig Ængstelse at han fremlægger sit Arbeide for Publicum, hvorhos han dog forventer den skaansomme Bedømmelse, som en Begynders første Fremtræden billigviis kan gjøre Fordring paa.»NB. lad endelig ingen Trykfeil indsnige sig, – Manuscriptet vil jeg gjerne have tilbage, ligeledes bedes mig sendt 2 Expl: af Stykket naar det bliver ferdigt – –Lidt Nyt – Clara Ebbell er bleven forlovet og det med sin egen Onkel, Henning Bie. – Gamle Ths Crawfurd døde iforgaars, – Due har det meget hyggeligt, og er fortiden const: Undertoldbet: – Apothekeren beder mig erindre dig om din Faders Medicinregning og siger at han vilde være meget taknemlig for en Anviisning paa din Faders Gage for Beløbet 6 Sp 4","[('MISC', 'Catilinas'), ('MISC', 'C.'), ('MISC', 'Olaf T.'), ('MISC', 'Normannerne'), ('LOC', 'Thelemarken'), ('MISC', 'Balminder'), ('MISC', 'Fangen paa Agershuus'), ('PER', 'Christian Lofthuus'), ('PER', 'C. L'), ('LOC', 'Lofthuus'), ('LOC', 'Lillesand'), ('MISC', 'danske'), ('PER', 'Lofthuus'), ('LOC', 'Kjøbenhavn'), ('MISC', 'svenske'), ('LOC', 'Norge'), ('PER', 'Lofthuus'), ('LOC', 'Christiania'), ('LOC', 'Agershuus Fæstning'), ('MISC', 'Catilina'), ('PER', 'Clara Ebbell'), ('PER', 'Henning Bie'), ('PER', 'Ths Crawfurd'), ('PER', 'Due')]","[('PER', 'Catilinas'), ('PER', 'C.'), ('LOC', 'indre Gehalt'), ('ORG', 'Forlagsretten'), ('PER', 'Olaf T.'), ('MISC', 'Normannerne'), ('LOC', 'Thelemarken'), ('MISC', 'Balminder'), ('MISC', 'Bortreise'), ('MISC', 'Fangen paa Agershuus'), ('PER', 'Christian Lofthuus'), ('PER', 'C. L'), ('LOC', 'Gaarden Lofthuus'), ('LOC', 'Lillesand'), ('MISC', 'danske'), ('PER', 'Lofthuus'), ('LOC', 'Kjøbenhavn'), ('MISC', 'svenske'), ('LOC', 'Norge'), ('PER', 'Lofthuus'), ('LOC', 'Christiania'), ('LOC', 'Agershuus Fæstning'), ('MISC', 'Catilina'), ('MISC', 'Lidt Nyt – Clara Ebbell'), ('PER', 'Henning Bie'), ('PER', 'Ths Crawfurd'), ('PER', 'Due')]"
BREV_B1844-1871ht_B18500728AkKoll,"Undertegnede opgiver herved at have læst 12te Bog af Homers Iliade, som Æqvivalent for hvad jeg i min oprindelige Anmeldelse har angivet forlidt.","[('MISC', 'Homers Iliade')]","[('MISC', 'Homers Iliade')]"
BREV_B1844-1871ht_B18640307BD,Jeg tillader mig herved at underrette Hr: Advokaten om at min Erklæring over Hr: Bjørnsons Forslag er tilstillet Theaterdirektionens Formand.,"[('PER', 'Bjørnsons'), ('ORG', 'Theaterdirektionens')]","[('PER', 'Hr: Advokaten'), ('PER', 'Hr: Bjørnsons'), ('ORG', 'Theaterdirektionens')]"
BREV_B1844-1871ht_B18651025FH,"Idet jeg aflægger min forbindtligste Takk for den gjennem B. Bjørnson modtagne Vexel, har jeg herved den Fornøjelse at fremsende Manuscriptet till de første hundrede Sider af mit nye Arbejde. Resten skal følge enten samlet eller i to Forsendinger i Løbet af 14 Dage. Det hele udgjør omtrent 280 Sider. Jeg skulde meget ønske at Bogen, hvad Format, Typer o.s.v, angaar, maatte udstyres som Bjørnsons dramatiske Arbejder. – I Afskriften findes ingen Skrivfejl af noget Slags, og da Haandskriften formentlig er tydelig vover jeg at haabe at ingen Trykfejl indløber i Bogen. Postforsendelsen af Manuskriptet er kostbar, men jeg finder mig naturligvis i at dette medtages i Beregningen ved det endelige Oppgjør. Idet jeg endnu engang aflægger min Takk for den af Hr. Cancelliraaden udviste Tillid og Velvilje tegner jeg migP. S.Tør jeg udbede mig at indlagte Billet maa blive nedlagt i en Postkasse, samt at jeg med et Par Ord underrettes om Modtagelsen af Manuscriptet; Postgangen gjennem Italien er ikke sikker.","[('PER', 'B. Bjørnson'), ('PER', 'Bjørnsons'), ('PER', 'Canceliraaden'), ('LOC', 'Italien')]","[('PER', 'B. Bjørnson'), ('PER', 'Vexel'), ('PER', 'Bjørnsons'), ('PER', 'Hr. Cancelliraaden'), ('LOC', 'Italien')]"
BREV_B1844-1871ht_B18660304FH,Mod denne min Anvisning ville De godhedsfuldt behage at udbetale til Digteren Bjørnstjerne Bjørnson 50 Rdlr: af mit tilgodehavende Forfatterhonorar.,"[('PER', 'Bjørnstjerne Bjørnson')]","[('PER', 'Bjørnstjerne Bjørnson')]"
BREV_B1844-1871ht_B18660415GS,"Uagtet jeg desværre ikke kan paaberaabe mig den Lykke personligt at være kjendt af Deres Excellence, vover jeg dog i en for mig højst vigtig Anledning at henvende mig til Dem, som Landets første Mand, med ærbødigst Anmodning om at Deres Excellence vilde behage ikke alene at forelægge Hans Majestæt Kongen indlagte underdanigste Andragende, men ogsaa at støtte samme med Deres afgjørende Anbefaling og forøvrigt undskylde de mulige formelle Fejl, som deri maatte findes.Angaaende mit nys udkomne Værk og mine Livsforholde forøvrigt, tillader jeg mig at henvise til «Aftonbladet» for 6te April, hvori findes optaget et «Brev fra Norge», hvis Fremstilling af mine ydre Omstændigheder, i det Store og Hovedsagelige taget, medfører Sandhed.Den Imødekommenhed, som Deres Excellence hidindtil har benyttet Deres ophøjede Stilling til at udvise, giver mig sikkert Haab om at heller ikke jeg vil blive stillet udenfor den talrige Kreds, der pligter at omfatte Deres Excellence med stedsevarende Taknemmelighed, og i dette Haab vover jeg at tegne mig Deres Excellences","[('MISC', 'Aftonbladet'), ('LOC', 'Norge')]","[('ORG', 'Hans Majestæt'), ('ORG', 'Aftonbladet'), ('LOC', 'Norge')]"
BREV_B1844-1871ht_B18660425FH,"Hermed følger en Liste over de væsentligste Trykkfejl i min Bog; det skulde inderligt glæde mig om Afsættningen maatte blive en saadan, at den aabnede Lejlighed till at faa dem rettede i et nyt Opplag. Staar Bogsalget blot nogenlunde i Forhold till de mange Hilsener og Takksigelser, som jeg allerede har modtaget saavel fra Danmark som fra Norge, saa er der al Grund till at haabe det bedste. Hjertelig Takk for den modtagne Vexel tilligemed Oppgjøret; men jeg maa fremdeles forbeholde mig min Ret till indtill videre at betragte det halve Honorar som et Forskud; det ligger ikke i min Interesse, ligesaalidt som min Samvittighed tillader mig det, at paaføre Dem noget Tab ved vor første fælles Forretning. I de svenske Blade har jeg seet Digtet averteret men endnu ikke anmeldt; dog, det kommer vel. Sommeren tillbringer jeg i Sorent; men min Adresse er ligefuldt den gamle for det Tillfælde at der skulde være nogen Anledning till at tillskrive mig.Deres med Højagtelse forbundne og hengivneP. S. Trykk og Papir er meget smukt, men Bogen vilde formentlig have vundet i Udseende hvis Verskolonnerne havde staaet mere midt paa Siderne.","[('LOC', 'Danmark'), ('LOC', 'Norge'), ('MISC', 'svenske'), ('LOC', 'Sorent')]","[('LOC', 'Danmark'), ('LOC', 'Norge'), ('MISC', 'svenske'), ('LOC', 'Sorent')]"
